Survey_Round,FSU,State,District,Sector,Sub_Sample,Hh_No,Person_No,Rel_To_Head,Sex,Age,General_Edu,Usual_Principal_Activity_Status,Subsidiary_Activity_Status,Weekly_Activity_Status,Earnings_Last_Month,Daily_Wages,Monthly_Exp,Multiplier
2023-24,FSU2701241,27,01,2,1,4,2,2,1,52,10,11,0,11,9372.76,390.53,6476.76,503.75
2023-24,FSU2902238,29,02,2,2,8,5,4,1,63,5,41,0,41,10557.43,439.89,12761.83,300.72
2023-24,FSU2701222,27,01,2,2,6,3,4,1,61,10,41,0,41,23445.91,976.91,7997.22,205.16
2023-24,FSU3203118,32,03,1,2,1,6,3,2,20,5,81,0,81,0.0,0.0,9941.64,467.39
2023-24,FSU1903236,19,03,2,1,11,3,2,1,49,13,11,0,11,12589.11,524.55,8614.44,842.67
2023-24,FSU0801114,08,01,1,1,13,3,9,2,19,5,81,0,81,0.0,0.0,12373.34,652.54
2023-24,FSU2404228,24,04,2,1,5,2,3,2,62,12,91,0,91,0.0,0.0,16671.7,429.58
2023-24,FSU1905221,19,05,2,2,13,1,1,1,24,13,11,0,11,13443.2,560.13,18673.27,194.47
2023-24,FSU3204280,32,04,2,1,14,1,1,1,58,12,31,0,31,32008.77,1231.11,37363.76,355.45
2023-24,FSU2401274,24,01,2,1,13,2,2,2,55,12,31,0,31,53125.54,2043.29,17043.7,527.57
2023-24,FSU3203212,32,03,2,2,2,3,4,1,18,5,81,0,81,0.0,0.0,17310.34,209.96
2023-24,FSU2705126,27,05,1,1,11,4,3,2,48,12,91,0,91,0.0,0.0,17536.72,800.24
2023-24,FSU0704266,07,04,2,1,15,5,9,1,30,5,11,0,11,16766.17,698.59,11409.37,311.08
2023-24,FSU0901139,09,01,1,2,2,1,1,2,19,12,91,0,91,0.0,0.0,7785.08,242.62
2023-24,FSU3304234,33,04,2,1,2,1,1,2,37,10,91,0,91,0.0,0.0,11071.32,660.35
2023-24,FSU0904223,09,04,2,2,4,2,3,2,23,10,31,0,31,27490.32,1057.32,21191.99,796.29
2023-24,FSU2901193,29,01,1,1,9,1,1,1,63,5,11,0,11,14627.17,609.47,12502.62,755.26
2023-24,FSU1904159,19,04,1,1,5,4,4,2,59,13,91,0,91,0.0,0.0,7012.36,357.7
2023-24,FSU3205150,32,05,1,1,1,1,1,2,47,12,31,0,31,40391.42,1553.52,13877.03,745.94
2023-24,FSU3201161,32,01,1,2,2,5,3,1,54,1,31,0,31,43261.35,1663.9,33693.31,371.46
2023-24,FSU3303143,33,03,1,1,7,2,4,2,35,1,11,0,11,24969.09,1040.38,13332.57,847.27
2023-24,FSU2902226,29,02,2,1,15,3,2,1,38,8,11,0,11,15864.36,661.01,13010.95,361.76
2023-24,FSU2903127,29,03,1,1,5,1,1,1,62,12,11,0,11,17096.6,712.36,10357.57,652.33
2023-24,FSU0705242,07,05,2,2,15,1,1,1,55,10,31,0,31,31677.83,1218.38,13454.86,241.57
2023-24,FSU1904281,19,04,2,2,1,1,1,1,59,5,41,0,41,12384.32,516.01,6576.45,536.77
